Product type,SKU,Production Date,Shipping Date,Price,Availability,Number of products sold,Revenue generated,Customer demographics,Stock levels,Lead times,Order quantities,Shipping times,Shipping carriers,Shipping costs,Supplier name,Location,Production volumes,Manufacturing lead time,Manufacturing costs,Inspection results,Defect rates,Transportation modes,Routes,Costs,Shortage Risk,Actual Shipping Time,Delay
skincare,SKU16,2024-05-10,2024-05-15,7.54717211,0.8792913007482858,99,6453.797968,Female,91,5,78,1,Carrier B,4.191324586,Supplier 1,Bangalore,399,21,77.1063425,Pass,1.012563089,Air,Route A,865.5257798,True,5,0
cosmetics,SKU17,2024-05-28,2024-06-15,81.46253437,0.9660443132492146,53,2629.396435,Female,16,17,85,9,Carrier C,3.585418958,Supplier 1,Chennai,453,16,47.67968037,Fail,0.102020755,Air,Route C,670.9343908,True,18,1
haircare,SKU18,2024-10-06,2024-10-20,36.44362777,0.9360360267576248,85,9364.673505,Unknown,71,10,46,8,Carrier C,4.339224714,Supplier 2,Kolkata,374,17,27.10798085,Pending,2.231939111,Sea,Route A,593.4802587,True,14,4
skincare,SKU19,2023-10-12,2023-10-17,51.12387009,0.991290808082785,20,2553.495585,Unknown,46,11,94,3,Carrier A,4.742635883,Supplier 4,Chennai,694,16,82.37332059,Fail,3.646450865,Road,Route C,477.3076311,False,5,-6
skincare,SKU20,2023-06-18,2023-06-27,96.34107244,0.8719322381955888,93,8128.027697,Unknown,35,12,68,6,Carrier A,8.878334651,Supplier 1,Chennai,309,6,65.68625961,Pass,4.231416574,Air,Route B,493.8712153,True,9,-3
cosmetics,SKU21,2024-10-12,2024-10-31,84.89386898,0.8796582354751471,92,7087.052696,Unknown,33,25,7,6,Carrier B,6.037883769,Supplier 5,Chennai,791,4,61.73572895,Pending,0.018607568,Air,Route C,523.3609147,True,19,-6
haircare,SKU22,2023-07-24,2023-07-23,27.67978089,0.7923880089613669,97,2390.807867,Unknown,70,1,63,10,Carrier A,9.567648921,Supplier 4,Kolkata,780,28,50.12083961,Fail,2.591275473,Rail,Route C,205.5719958,True,-1,-2
cosmetics,SKU23,2024-08-06,2024-08-06,4.324341186,0.9392802122393216,60,8858.367571,Unknown,33,5,29,7,Carrier A,2.924857601,Supplier 5,Kolkata,568,29,98.60995724,Pending,1.342291563,Rail,Route A,196.3294461,True,0,-5
haircare,SKU24,2024-07-05,2024-07-27,4.156308359,0.9748454036349412,82,9049.077861,Male,59,26,2,8,Carrier C,9.741291689,Supplier 2,Bangalore,447,3,40.3823597,Pending,3.691310293,Air,Route A,758.7247726,True,22,-4
haircare,SKU25,2024-06-24,2024-07-07,39.62934399,0.8923102953749453,35,2174.777054,Male,38,11,52,3,Carrier C,2.231073681,Supplier 4,Kolkata,934,23,78.28038312,Pending,3.797231217,Road,Route B,458.5359457,False,13,2
haircare,SKU26,2024-02-10,2024-02-24,97.44694662,0.963318462023424,59,3716.493326,Male,21,16,48,4,Carrier B,6.507548621,Supplier 2,Bangalore,171,4,15.97222976,Pass,2.119319737,Rail,Route A,617.8669165,True,14,-2
cosmetics,SKU27,2023-05-22,2023-06-05,92.55736081,0.860215434655698,83,2686.457224,Unknown,76,9,62,8,Carrier C,7.406750953,Supplier 5,Mumbai,291,4,10.52824507,Fail,2.864667838,Sea,Route B,762.4591822,True,14,5
cosmetics,SKU28,2023-07-05,2023-07-22,2.397274706,0.950709695138786,35,6117.324615,Female,44,15,24,4,Carrier B,9.898140508,Supplier 1,Mumbai,171,7,59.42938181,Fail,0.815757079,Air,Route A,123.4370275,False,17,2
cosmetics,SKU29,2023-04-28,2023-04-27,63.44755919,0.914716979124052,96,8318.903195,Female,79,5,67,7,Carrier B,8.100973145,Supplier 1,Kolkata,329,7,39.29287559,Pass,3.878098937,Road,Route B,764.9353759,True,-1,-6
haircare,SKU30,2024-08-12,2024-09-08,8.022859211,0.9488588876343478,37,2766.342367,Male,59,26,35,7,Carrier B,8.954528315,Supplier 4,Kolkata,806,30,51.6348934,Pending,0.965394705,Road,Route C,880.0809882,False,27,1
skincare,SKU31,2023-10-29,2023-11-13,50.84739305,0.8774825396958202,95,9655.135103,Male,40,17,44,4,Carrier B,2.679660965,Supplier 3,Chennai,461,8,60.25114566,Pending,2.989000007,Rail,Route C,609.3792066,True,15,-2
skincare,SKU32,2024-12-02,2024-12-15,79.20993602,0.8057150013909372,85,9571.550487,Unknown,74,13,64,4,Carrier C,6.599104901,Supplier 3,Kolkata,737,7,29.69246715,Pass,1.946036119,Road,Route A,761.1739095,True,13,0
cosmetics,SKU33,2025-02-02,2025-02-13,64.795435,0.8482923129493796,43,5149.99835,Non-binary,68,17,95,9,Carrier C,4.858270503,Supplier 5,Chennai,251,23,23.85342751,Fail,3.541046012,Sea,Route A,371.2552955,False,11,-6
skincare,SKU34,2023-10-03,2023-10-29,37.46759233,0.8344624535173591,68,9061.710896,Unknown,89,26,21,7,Carrier A,1.019487571,Supplier 1,Chennai,452,10,10.75427282,Pass,0.646604559,Road,Route B,510.3580004,False,26,0
cosmetics,SKU35,2023-03-15,2023-04-07,84.95778682,0.8764801891872646,60,6541.329345,Female,98,27,85,8,Carrier C,5.28818999,Supplier 1,Delhi,367,2,58.00478704,Pass,0.541154098,Sea,Route C,553.4204712,False,23,-4
skincare,SKU36,2024-05-06,2024-05-24,9.813002579,0.9570873797111004,57,7573.402458,Female,36,23,28,3,Carrier B,2.107951267,Supplier 2,Delhi,671,19,45.53136424,Fail,3.805533379,Air,Route C,403.8089742,True,18,-5
skincare,SKU37,2024-11-17,2024-11-30,23.39984475,0.9091825330481292,30,2438.33993,Female,83,8,21,9,Carrier A,1.532655274,Supplier 3,Kolkata,867,15,34.34327747,Pending,2.610288085,Sea,Route A,183.932968,False,13,5
cosmetics,SKU38,2023-11-19,2023-11-16,52.07593068,0.917384358015817,70,9692.31804,Non-binary,54,1,88,5,Carrier B,9.235931437,Supplier 5,Mumbai,841,12,5.930693646,Pending,0.613326899,Air,Route B,339.6728699,True,-3,-4
skincare,SKU39,2023-08-24,2023-09-16,19.12747727,0.8841324551597936,92,1912.465663,Female,35,29,34,3,Carrier A,5.562503779,Supplier 2,Kolkata,791,6,9.005807429,Fail,1.451972204,Air,Route B,653.6729946,True,23,-6
skincare,SKU40,2023-06-06,2023-06-28,80.54142417,0.9459798261754034,40,5724.95935,Female,12,20,39,8,Carrier C,7.22959514,Supplier 1,Kolkata,793,1,88.1794071,Pending,4.213269431,Road,Route A,529.808724,True,22,2
skincare,SKU41,2023-10-23,2023-11-13,99.11329162,0.8845585681649655,67,5521.205259,Female,27,19,38,8,Carrier B,5.773263744,Supplier 4,Chennai,892,7,95.33206455,Fail,0.045302262,Sea,Route A,275.5243711,True,21,2
skincare,SKU42,2024-02-01,2024-03-04,46.52916761,0.9214828715389968,31,1839.609426,Female,22,27,57,4,Carrier C,7.526248327,Supplier 5,Bangalore,179,7,96.42282064,Fail,4.939255289,Road,Route A,635.6571205,True,32,5
haircare,SKU43,2025-01-26,2025-02-19,11.74327178,0.8739319698583707,83,5737.425599,Unknown,84,29,85,9,Carrier B,3.694021268,Supplier 5,Mumbai,206,23,26.27736596,Pending,0.372304768,Air,Route A,716.0441198,False,24,-5
cosmetics,SKU44,2023-04-17,2023-05-03,51.35579091,0.95899912455797,34,7152.286049,Female,12,19,72,6,Carrier C,7.577449657,Supplier 2,Delhi,834,18,22.55410662,Fail,2.96262632,Rail,Route A,610.4532696,True,16,-3
haircare,SKU45,2024-08-12,2024-08-19,33.78413803,0.85891806074343,75,5267.956808,Male,16,7,52,6,Carrier B,5.215155009,Supplier 2,Chennai,794,25,66.31254444,Pass,3.219604612,Rail,Route A,495.305697,True,7,0
haircare,SKU46,2025-01-11,2025-02-03,27.0822072,0.946481588965852,91,2556.767361,Non-binary,74,29,6,8,Carrier B,4.070955837,Supplier 3,Chennai,870,23,77.32235321,Pending,3.648610593,Road,Route B,380.4359371,True,23,-6
skincare,SKU47,2023-05-21,2023-06-01,95.71213588,0.8864001281870943,56,7089.47425,Male,58,15,51,9,Carrier B,8.978750756,Supplier 1,Kolkata,964,20,19.71299291,Pending,0.380573587,Rail,Route A,581.6023551,False,11,-4
haircare,SKU48,2024-11-20,2024-12-03,76.03554443,0.963492236274212,35,7397.071005,Non-binary,92,16,9,3,Carrier C,7.095833157,Supplier 2,Mumbai,109,18,23.12636358,Fail,1.698112541,Rail,Route B,768.651914,False,13,-3
cosmetics,SKU49,2024-02-22,2024-03-22,78.89791321,0.9800685065503522,24,8001.613207,Unknown,74,24,9,6,Carrier C,2.505621033,Supplier 5,Delhi,177,28,14.14781544,Pass,2.825813985,Rail,Route A,336.8901685,False,29,5
cosmetics,SKU50,2025-01-27,2025-02-18,14.20348426,0.9354725563597914,77,5910.88539,Female,72,23,82,10,Carrier A,6.247860915,Supplier 2,Delhi,306,21,45.17875792,Fail,4.754800805,Rail,Route B,496.2486503,True,22,-1
haircare,SKU51,2024-09-27,2024-10-05,26.70076097,0.8667036943974463,50,9866.465458,Male,25,4,52,1,Carrier A,4.783000558,Supplier 5,Bangalore,673,28,14.19032834,Pending,1.772951172,Road,Route A,694.9823176,True,8,4
skincare,SKU52,2024-07-24,2024-07-31,98.03182966,0.8729151719609308,27,9435.762609,Male,75,11,11,1,Carrier B,8.63105218,Supplier 1,Mumbai,727,27,9.166849149,Pending,2.122471619,Air,Route C,602.8984988,False,7,-4
skincare,SKU53,2024-08-20,2024-09-16,30.34147071,0.9737226430829938,99,8232.334829,Male,39,25,54,3,Carrier B,1.013486566,Supplier 1,Delhi,631,17,83.34405899,Pending,1.410347576,Air,Route B,750.7378407,True,27,2
haircare,SKU54,2023-04-30,2023-05-19,31.14624316,0.9406059961922056,25,6088.02148,Non-binary,80,22,61,3,Carrier B,4.305103471,Supplier 1,Kolkata,497,29,30.18602338,Pass,2.478771976,Road,Route B,814.0699966,False,19,-3
haircare,SKU55,2024-01-06,2024-01-19,79.85505834,0.9390994789573164,48,2925.67517,Male,25,11,11,5,Carrier A,5.014364955,Supplier 2,Delhi,918,5,30.32354526,Fail,4.548919659,Sea,Route B,323.012928,True,13,2
skincare,SKU56,2023-08-26,2023-09-16,20.98638604,0.8572650194293121,80,4767.020484,Non-binary,70,23,83,5,Carrier C,1.774429714,Supplier 1,Mumbai,826,28,12.83628457,Pass,1.173755495,Air,Route B,832.2108087,True,21,-2
haircare,SKU57,2023-06-22,2023-07-12,49.26320535,0.90374058350179,72,1605.8669,Unknown,12,18,51,1,Carrier B,9.160558535,Supplier 2,Delhi,588,25,67.77962299,Pending,2.51117483,Rail,Route A,482.1912386,True,20,2
skincare,SKU58,2024-09-02,2024-09-02,59.84156138,0.9425297238556136,34,2021.14981,Non-binary,61,5,44,7,Carrier A,4.938438565,Supplier 3,Delhi,396,7,65.04741509,Fail,1.73037472,Road,Route B,110.3643352,False,0,-5
cosmetics,SKU59,2023-06-23,2023-07-04,63.82839835,0.9122876728828536,64,1061.618523,Non-binary,17,16,26,7,Carrier B,7.293722597,Supplier 1,Kolkata,176,4,1.900762244,Fail,0.447194015,Air,Route A,312.5742736,True,11,-5
skincare,SKU60,2023-08-25,2023-09-19,17.02802792,0.9284797928841276,31,8864.08435,Female,61,27,72,8,Carrier C,4.381368158,Supplier 4,Mumbai,929,24,87.21305782,Fail,2.853090617,Rail,Route A,430.169097,False,25,-2
haircare,SKU61,2025-02-03,2025-02-25,52.0287499,0.8893475109417653,54,6885.589351,Unknown,34,23,36,7,Carrier C,9.030340423,Supplier 4,Kolkata,480,12,78.70239397,Fail,4.367470538,Air,Route A,164.3665282,True,22,-1
cosmetics,SKU62,2024-10-16,2024-10-22,72.79635396,0.9267106963927756,51,3899.746834,Unknown,77,2,40,7,Carrier C,7.291701389,Supplier 2,Mumbai,751,14,21.04864273,Pass,1.874001404,Sea,Route C,320.8465158,False,6,4
skincare,SKU63,2025-02-05,2025-02-22,13.01737679,0.909598650629444,63,4256.949141,Non-binary,18,19,10,4,Carrier A,2.457933528,Supplier 3,Bangalore,736,10,20.07500398,Pending,3.63284329,Sea,Route A,687.2861779,True,17,-2
skincare,SKU64,2023-09-21,2023-10-22,89.63409561,0.9103310130500408,34,8458.730878,Female,31,27,75,6,Carrier C,4.585353468,Supplier 1,Delhi,328,6,8.693042426,Fail,0.159486315,Air,Route C,771.2250847,True,31,4
skincare,SKU65,2023-12-21,2024-01-09,33.69771721,0.9056000647921516,42,8354.579686,Male,34,24,54,8,Carrier C,6.580541348,Supplier 5,Kolkata,358,21,1.597222743,Fail,4.911095955,Rail,Route C,555.8591037,True,19,-5
skincare,SKU66,2025-02-01,2025-02-12,26.03486977,0.9332241335122398,86,8367.721618,Female,31,17,19,8,Carrier A,2.216142729,Supplier 5,Kolkata,867,28,42.08443674,Fail,3.448063288,Road,Route A,393.8433486,True,11,-6
skincare,SKU67,2023-06-16,2023-06-19,87.75543235,0.9453536924438706,83,9473.798033,Unknown,65,9,71,9,Carrier C,9.147811545,Supplier 1,Mumbai,198,11,7.057876147,Pass,0.131955444,Sea,Route C,169.2718014,True,3,-6
haircare,SKU68,2024-08-19,2024-08-23,37.93181238,0.9102291362694432,22,3550.218433,Non-binary,89,8,58,8,Carrier B,1.194251865,Supplier 2,Bangalore,375,18,97.11358156,Fail,1.983467872,Rail,Route A,299.7063031,False,4,-4
skincare,SKU69,2023-05-19,2023-05-21,54.86552852,0.8590428499494772,62,1752.381087,Non-binary,16,1,27,3,Carrier B,9.70528679,Supplier 4,Kolkata,862,7,77.62776581,Pending,1.362387989,Air,Route A,207.6632062,True,2,1
haircare,SKU70,2024-10-23,2024-11-08,47.91454182,0.9784148065640343,84,7014.887987,Female,33,12,22,4,Carrier B,6.315717755,Supplier 1,Bangalore,775,16,11.44078182,Pass,1.830575599,Road,Route C,183.2728987,True,16,4
cosmetics,SKU71,2024-04-20,2024-04-16,6.381533163,0.936667633473613,21,8180.337085,Female,61,2,26,6,Carrier A,9.228190317,Supplier 2,Bangalore,258,10,30.66167748,Pending,2.078750608,Road,Route A,405.1670679,False,-4,-6
cosmetics,SKU72,2023-03-27,2023-04-22,90.20442752,0.898983162876297,31,2633.121981,Non-binary,90,29,77,9,Carrier A,6.59961416,Supplier 1,Bangalore,152,11,55.7604929,Pending,3.213329607,Rail,Route B,677.9445698,False,26,-3
cosmetics,SKU73,2023-04-09,2023-05-09,83.85101768,0.8845506224682468,53,7910.886916,Male,80,25,66,5,Carrier B,1.512936837,Supplier 4,Chennai,444,4,46.8702388,Fail,4.620546065,Road,Route A,866.4728001,False,30,5
haircare,SKU74,2023-08-02,2023-08-04,3.170011414,0.8832388563454014,37,5709.945296,Female,97,6,1,5,Carrier A,5.23765465,Supplier 4,Delhi,919,9,80.58085216,Fail,0.396612724,Rail,Route A,341.5526568,False,2,-4
skincare,SKU75,2024-07-16,2024-08-04,92.99688423,0.9007651900745032,56,1889.07359,Non-binary,44,20,56,10,Carrier C,2.473897761,Supplier 1,Chennai,759,11,48.06478264,Pass,2.030069089,Air,Route C,873.129648,True,19,-1
haircare,SKU76,2024-04-23,2024-04-24,69.10879955,0.9385483004839974,61,5328.375984,Male,89,1,22,10,Carrier A,7.054538337,Supplier 2,Bangalore,985,24,64.3235978,Pending,2.180037452,Rail,Route A,997.4134501,False,1,0
haircare,SKU77,2023-06-01,2023-06-26,57.44974296,0.9420339217849818,73,2483.760178,Unknown,90,28,57,4,Carrier B,6.780946626,Supplier 1,Kolkata,334,5,42.95244475,Pass,3.055141818,Road,Route B,852.5680989,False,25,-3
haircare,SKU78,2023-03-22,2023-03-30,6.306883176,0.9481435616452664,61,1292.458418,Unknown,88,4,51,5,Carrier B,8.467049771,Supplier 5,Mumbai,858,21,71.12651472,Pending,4.096881332,Sea,Route C,323.5922034,False,8,4
haircare,SKU79,2023-06-02,2023-06-23,57.05703122,0.9032771375961228,48,7888.723268,Non-binary,58,25,20,1,Carrier B,6.496325364,Supplier 3,Bangalore,228,12,57.87090292,Pending,0.165871627,Air,Route C,351.5042193,False,21,-4
skincare,SKU80,2024-09-06,2024-09-21,91.12831835,0.9777830062961734,43,8651.672683,Unknown,32,14,41,2,Carrier C,2.833184679,Supplier 3,Chennai,202,5,76.96122802,Fail,2.849662199,Sea,Route B,787.7798505,True,15,1
haircare,SKU81,2023-04-05,2023-04-16,72.81920693,0.9418149415008376,20,4384.4134,Unknown,34,6,8,5,Carrier B,4.066277502,Supplier 3,Delhi,698,1,19.78959294,Pending,2.547547122,Rail,Route B,276.7783359,False,11,5
skincare,SKU82,2024-11-13,2024-12-01,17.03493074,0.8516253006842057,46,2943.381868,Unknown,37,19,72,1,Carrier A,4.708181874,Supplier 2,Mumbai,955,26,4.465278435,Pending,4.137877049,Road,Route C,589.9785556,True,18,-1
haircare,SKU83,2024-12-06,2024-12-29,68.91124621,0.8421892875946192,43,2411.754632,Unknown,50,24,7,8,Carrier B,4.949839578,Supplier 1,Bangalore,443,5,97.7305938,Fail,0.773006134,Road,Route A,682.9710182,False,23,-1
haircare,SKU84,2024-05-01,2024-05-25,89.10436729,0.903185889094895,29,2048.2901,Unknown,75,26,80,10,Carrier A,8.381615625,Supplier 5,Chennai,589,22,33.80863651,Pass,4.843456577,Air,Route B,465.457006,False,24,-2
cosmetics,SKU85,2024-09-12,2024-10-01,76.96299442,0.8709030409634918,68,8684.613059,Female,27,18,66,2,Carrier C,8.249168705,Supplier 5,Chennai,211,2,69.92934552,Fail,1.374429,Road,Route B,842.68683,True,19,1
skincare,SKU86,2025-02-02,2025-02-18,19.99817694,0.9241617605929532,96,1229.591029,Unknown,40,14,22,6,Carrier B,1.45430531,Supplier 1,Mumbai,569,18,74.60897,Pass,2.051512931,Rail,Route A,264.2548898,True,16,2
haircare,SKU87,2023-09-19,2023-09-22,80.41403665,1.0,71,5133.846701,Male,42,7,55,10,Carrier A,6.575803798,Supplier 3,Chennai,523,17,28.69699682,Fail,3.693737788,Sea,Route B,879.3592177,True,3,-4
cosmetics,SKU88,2023-12-23,2024-01-12,75.27040698,0.8057934694588826,20,9444.742033,Male,87,18,85,7,Carrier A,3.801253133,Supplier 2,Mumbai,953,11,68.18491906,Pending,0.722204402,Sea,Route A,103.916248,False,20,2
cosmetics,SKU89,2024-05-20,2024-05-24,97.76008558,0.8934236673876166,61,5924.682567,Unknown,10,1,27,8,Carrier B,9.929816245,Supplier 1,Kolkata,370,11,46.60387338,Pending,1.907665734,Rail,Route B,517.4999739,True,4,3
skincare,SKU90,2024-01-05,2024-01-20,13.8819135,0.8921083041415236,91,9592.63357,Non-binary,86,18,96,7,Carrier B,7.674430708,Supplier 3,Bangalore,585,8,85.67596334,Pass,1.219382224,Rail,Route B,990.0784725,True,15,-3
cosmetics,SKU91,2023-12-24,2024-01-19,62.11196546,0.8430395006122137,67,1935.206794,Male,67,22,85,7,Carrier B,7.471514084,Supplier 4,Delhi,207,28,39.7728825,Pending,0.626001858,Rail,Route B,996.778315,False,26,4
cosmetics,SKU92,2023-08-06,2023-08-30,47.71423308,0.8773835190925809,27,2100.129755,Male,36,25,10,8,Carrier B,4.469500026,Supplier 2,Mumbai,671,29,62.6126904,Pass,0.333431825,Rail,Route B,230.0927825,False,24,-1
haircare,SKU93,2023-05-26,2023-06-17,69.290831,0.9642699490269516,89,4531.402134,Unknown,85,17,66,1,Carrier C,7.006432059,Supplier 4,Chennai,824,20,35.63365234,Fail,4.165781795,Air,Route A,823.5238459,True,22,5
cosmetics,SKU94,2023-07-29,2023-08-26,3.037688725,0.9073703030023772,81,7888.356547,Unknown,70,26,72,9,Carrier B,6.942945942,Supplier 2,Delhi,908,14,60.38737861,Pass,1.463607498,Rail,Route B,846.665257,True,28,2
haircare,SKU95,2023-08-31,2023-09-11,77.90392722,0.919457503185124,60,7386.363944,Unknown,37,14,26,9,Carrier B,8.63033887,Supplier 4,Mumbai,450,26,58.89068577,Pending,1.21088213,Air,Route A,778.8642414,True,11,-3
cosmetics,SKU96,2023-08-31,2023-08-30,24.42313142,0.9213749339874852,83,7698.424766,Non-binary,49,2,32,3,Carrier C,5.352878044,Supplier 3,Mumbai,648,28,17.80375633,Pending,3.872047681,Road,Route A,188.7421411,True,-1,-3
haircare,SKU97,2023-05-29,2023-06-11,3.526111259,0.899112901108895,49,4370.91658,Male,18,19,4,9,Carrier A,7.904845611,Supplier 4,Mumbai,535,13,65.76515593,Fail,3.376237835,Road,Route A,540.1324229,True,13,-6
skincare,SKU98,2023-07-31,2023-07-31,19.75460487,0.814258349893449,45,8525.95256,Female,91,1,27,7,Carrier B,1.409801095,Supplier 5,Chennai,581,9,5.604690864,Pending,2.908122169,Rail,Route A,882.1988635,False,0,-1
haircare,SKU99,2023-08-01,2023-08-03,68.5178327,0.9661073269156194,33,9185.185829,Unknown,78,8,59,6,Carrier B,1.311023756,Supplier 2,Chennai,921,2,38.07289852,Fail,0.346027291,Rail,Route B,210.743009,False,2,-6
skincare,SKU100,2023-04-24,2023-05-04,8.783758552181114,0.8884598202784582,81,2766.025744641018,Male,63,5,51,7,Carrier A,6.858978406967298,Supplier 5,Chennai,746,15,14.472813071154444,Pending,0.0490571138761324,Sea,Route A,551.4634916029777,True,10,5
haircare,SKU101,2023-09-05,2023-10-02,82.73010908312145,0.929601889074593,33,6833.316816668128,Female,99,29,92,4,Carrier C,9.469332240367471,Supplier 5,Delhi,140,14,83.71229054931942,Pass,3.143470926645965,Sea,Route C,427.7463884651435,False,27,-2
haircare,SKU102,2024-10-13,2024-10-18,96.71104044259371,1.0,61,4273.188658666506,Non-binary,16,5,67,6,Carrier A,2.6167851637488235,Supplier 2,Delhi,389,23,91.50948238902065,Fail,1.4372468816739488,Air,Route C,580.3087524808661,True,5,0
skincare,SKU103,2024-06-19,2024-07-10,25.74171322312838,0.885233028186006,43,4888.696826567853,Unknown,68,17,1,5,Carrier B,2.378985036357454,Supplier 4,Delhi,265,2,51.97567419411842,Pass,2.41635046398022,Sea,Route A,931.1342882140596,False,21,4
cosmetics,SKU104,2024-05-29,2024-06-21,59.31293872121319,0.971044726807742,57,1887.8154808196791,Unknown,82,21,30,1,Carrier A,5.077400988603251,Supplier 4,Delhi,472,9,91.173609250768,Fail,0.5389231435228905,Rail,Route A,567.4844746121764,False,23,2
haircare,SKU105,2023-06-18,2023-06-18,75.8160439186963,0.9508254594636942,98,9106.099950281296,Female,23,4,15,3,Carrier B,5.853603374281854,Supplier 3,Chennai,790,29,82.52938707634023,Fail,2.408401346554764,Sea,Route C,400.650093197568,True,0,-4
cosmetics,SKU106,2024-06-06,2024-07-03,51.94043773306832,0.8679605720373629,50,6537.4463052526135,Unknown,99,24,11,7,Carrier A,7.340198927429461,Supplier 3,Chennai,494,13,77.88426109423358,Pass,2.152989518016732,Air,Route A,843.0619986258248,False,27,3
skincare,SKU107,2023-08-18,2023-09-08,86.85054762465337,0.7897242721938478,37,9417.215194825872,Male,86,19,82,3,Carrier B,7.753050653292021,Supplier 2,Mumbai,855,18,24.86030612807572,Pass,2.417955985075679,Air,Route A,455.6759404990754,False,21,2
skincare,SKU108,2024-01-06,2024-01-16,41.27645704402375,0.9058220304959244,52,3032.2965087759803,Male,95,13,29,9,Carrier B,1.1290681187073184,Supplier 3,Delhi,539,15,40.74404349247669,Pending,4.603593668105282,Air,Route A,437.7439376657092,False,10,-3
haircare,SKU109,2024-12-12,2024-12-30,46.54279734104095,0.8870657517942789,41,2055.51694067388,Non-binary,17,18,13,1,Carrier C,3.124846594049287,Supplier 2,Chennai,346,17,43.730855299962194,Fail,0.5291986376945224,Rail,Route B,328.68864876811523,True,18,0
